percent,﻿Salary,Work_Type,Company_Size,Role,Company
108.0,44000, частичная занятость,43665,специалист по ИТ-поддержке,Spotify Technology S.A.
105.0,49600,стажер,125427,специалист по работе с клиентами,Bajaj Auto
111.0,52000,неполный рабочий день,57134,менеджер по социальным сетям,Renishaw
104.0,44800,временный,55648,разработчик баз данных,News Corp.
100.0,47200,Стажер,107738,Исследователь в области социальных наук,KKR
95.0,44800,Временная,91636, Регистратор, Arconic
108.0,51200,стажер,43166,штатная медсестра,Revlon
100.0,47200,временная,99455,международный налоговый консультант,Dow
106.0,45600,временный,21827,аналитик по рискам,Seaboard
105.0,49600,временная,65648,логопед,Всезнайка
95.0,44000,контракт,65183,региональный директор по продажам,Enterprise Products Partners
107.0,47200,полный рабочий день,73840,консультант по вопросам психического здоровья,Bayer AG
116.0,47200,частичная занятость,25713, Семейная медсестра-практикант,Carrier Global
108.0,51200,Временная,14771,Градостроитель,UnitedHealth Group
102.0,48000,Временная,90064,Менеджер по работе со стратегическими клиентами,Avnet
107.0,50400,Стажер,48875,Исследователь пользователей,UGI
106.0,45600,временный,18334,менеджер по работе с клиентами,Disney+
111.0,52000,неполный рабочий день,45782,финансовый аналитик,General Electric
110.0,52000,стажер,58759,техник по поддержке настольных компьютеров,Brighthouse Financial
103.0,48800,временная,40875,художественный куратор,Deutsche Pfandbriefbank AG
99.0,45600,Полная занятость,42159,Sales Account Executive,GlaxoSmithKline
97.0,44800,контракт,121311,разработчик мобильных приложений,Starbucks
110.0,52000,стажер,54212,Agile Project Manager,Hindalco Industries
113.0,52000,Полная занятость,110983,инженер-строитель,Lincoln National
108.0,44000,частичная занятость,85922,менеджер по обеспечению качества обслуживания,HCL Technologies
107.0,47200,полный рабочий день,22971,аналитик по закупкам,Nestle India
107.0,50400,стажер,87873,семейный консультант,Электрокомпоненты
108.0,51200,стажер,77894,аналитик по логистике,Community Health Systems
95.0,44800,стажер,58034,архитектор данных,Equitable Holdings
109.0,51200,неполный рабочий день,128742,региональный директор по продажам,Bajaj Finserv
101.0,46400,контракт,24654,аналитик по логистике,PulteGroup
95.0,44800,неполный рабочий день,39267,дизайнер пользовательского интерфейса,Stockland Corporation
113.0,52000,контракт,92865,аналитик по обеспечению качества,Group 1 Automotive
111.0,51200,контракт,32898,аналитик по обеспечению качества,Altria Group
105.0,48000,Полная занятость,93691,Специалист по документации,Reynolds American Inc.
100.0,44000,полный рабочий день,76275,финансовый бухгалтер,Huntsman
97.0,44800,контракт,49909,представитель по внутренним продажам,Вкусно и точка
109.0,50400,контракт,14944,менеджер по работе со стратегическими клиентами,Republic Services
93.0,44000,Стажер,129177,Аналитик по сетевой безопасности,Republic Services
103.0,48800,Стажер,72619,Менеджер по инвентаризации,Continental AG
97.0,44800,контракт,112909,инженер по автоматизированному тестированию,Tesla
113.0,52000,Полная занятость,64602,Дизайнер пользовательского интерфейса,Continental Resources
99.0,45600,Полная занятость,61676,торговый представитель,Henkel AG & Co. KGaA
107.0,50400,стажер,106271,консультант по устойчивому развитию,WESCO International
100.0,47200,временная,36167,инженер по электронному оборудованию,Unilever
110.0,52000,временная,117330,специалист по системной интеграции,NRG Energy
98.0,44800,Полная занятость,80811,Бренд-стратег,InterContinental Hotels Group
100.0,44000,полный рабочий день,122985,инженер-электрик,Revlon
103.0,48800,временная,18123,медсестра-практикант по оказанию неотложной помощи,Ceconomy AG
99.0,46400,неполный рабочий день,103289,судебный адвокат,Constellation Brands
104.0,48000,контракт,42479,инженер по сетевой безопасности,Interpublic Group
97.0,45600,временная,25355,психолог-исследователь,Auto-Owners Insurance
109.0,51200,неполный рабочий день,87550,координатор художественного образования,ODP
99.0,46400,неполный рабочий день,38678,менеджер по привлечению талантов,Titan Company
106.0,48800,контракт,61963,классный руководитель,страховая биржа Farmers
95.0,44000,контракт,83361,специалист по контролю за запасами,Publix Super Markets
101.0,46400,контракт,53541,корпоративный юрист,Otis Worldwide
99.0,46400,неполный рабочий день,28546,разработчик баз данных SQL,US Foods Holding
100.0,47200,временная,131928,менеджер по закупкам,Croda International
107.0,50400,Стажер,31092,IT-аналитик,Travelers
93.0,44000,Стажер,39646,Практикующая медсестра по оказанию неотложной помощи,Textron
105.0,49600,стажер,71394,менеджер по работе с ключевыми клиентами,Ulta Beauty
103.0,48800,временная,70396,креативный копирайтер,American Electric Power
108.0,51200,Стажер,97571,Менеджер по закупкам,UnitedHealth Group
100.0,47200,временная,84264,SEO-специалист,Tencent Holdings
111.0,51200,Контракт,50052, фронт-энд разработчик,Otis Worldwide
106.0,48800,Контракт,72807,Координатор мероприятий,Tullow Oil
108.0,49600,полная занятость,130966, руководитель отдела по работе с клиентами,Qualcomm
111.0,51200,контракт,102861,консультант по продажам B2B,AutoNation
101.0,47200,неполный рабочий день,86718,разработчик баз данных,Peter Kiewit Sons
97.0,44800,контракт,120930,менеджер строительных проектов,General Mills
109.0,48000,полный рабочий день,16792,менеджер по социальным сетям,Western Digital
105.0,48000,Полная занятость,25307,Instructional Designer,PNC Financial Services Group
120.0,48800,частичная занятость,50004,контент-стратег,Farmers Insurance Exchange
110.0,52000,стажер,106859,координатор обучения,CIMIC Group
110.0,52000,Временная,15831,Координатор по подбору персонала,Alibaba Health Information Technology
111.0,52000,неполный рабочий день,56816,менеджер по стратегическим партнерствам,Tenet Healthcare
107.0,50400,Стажер,43783, Java бэкэнд разработчик,Exelon
109.0,51200,неполный рабочий день,32405,руководитель группы продаж,SAP SE
107.0,50400,временная,88586,детский логопед,IBM (International Business Machines Corporation)
95.0,44000,контракт,18697,инженер по большим данным,Fidelity Investments
107.0,50400,стажер,12938,инженер по базам данных NoSQL,Intercontinental Exchange
95.0,44800,стажер,28874,планировщик спроса,Power Grid Corporation of India
102.0,48000,стажер,88454,свадебный дизайнер,Consolidated Edison
102.0,48000,неполный рабочий день,75509,организатор мероприятий,Northrop Grumman
109.0,48000,полный рабочий день,70223,техник по поддержке настольных компьютеров,Corteva
93.0,44000,стажер,24942,портфельный менеджер,Icahn Enterprises
108.0,49600,контракт,19832,гериатрическая медсестра-практикант,Colgate-Palmolive
98.0,46400,временная,44367,JavaScript разработчик,SF Express
95.0,44000,контракт,114433,менеджер по работе с клиентами,Huntsman
100.0,47200,стажер,79091,координатор закупок,Dover
127.0,52000,частичная занятость,69645,инженер по большим данным,Lendlease Group
99.0,45600,Полная занятость,108139,Специалист по планированию перевозок,Asbury Automotive Group
113.0,52000,Полная занятость,54319,менеджер по работе с ключевыми клиентами,TD Ameritrade Holding Corporation
106.0,45600,временный,126754,логопед для взрослых,Britannia Industries
97.0,44800,Контракт,126200,Координатор льгот,Muthoot Finance
108.0,49600,контракт,57845,дизайнер интерьера,Dana
102.0,44800,полный рабочий день,127707,инвестиционный аналитик,Aflac
95.0,44800,стажер,67492,менеджер кампаний по электронной почте,Quanta Services
106.0,48800,контракт,105454,специалист по устойчивому развитию,Ashtead Group
118.0,48000,частичная занятость,67760, Разработчик серверных приложений,Glenmark Pharmaceuticals
106.0,46400,полный рабочий день,31344,системный администратор,Eastman Chemical
102.0,48000,неполный рабочий день,35925,инженер-проектировщик,Carnival Corporation & plc
107.0,50400,временная,125215,координатор маркетинговых исследований,Adani Green Energy
95.0,44000,контракт,102180,агент колл-центра,Textron
95.0,44800,Временная,28776,Менеджер по работе с клиентами,Fiat Chrysler Automobiles N.V.
106.0,48800,Полная занятость,98633,Дизайнер по охране окружающей среды,Газировка
104.0,48000,контракт,50314,менеджер по работе с клиентами, BYD Company
108.0,49600, Полная занятость,44564,Дизайнер пользовательского интерфейса, Delta Air Lines
117.0,50400,временный,90785,IT бизнес-аналитик,Kinder Morgan
103.0,48800,стажер,42637,дизайнер интерфейсов,Avnet
97.0,44800,контракт,116311,аналитик социальных сетей,Workspace Group
112.0,48000,временный,55939,Дизайнер пользовательского интерфейса,CDW
107.0,50400,Стажер,68931,JavaScript разработчик,Tencent Holdings
113.0,52000,контракт,17240,юрист по вопросам опеки над детьми,Halma
100.0,47200,временная,126334,инженер беспроводных сетей,Lendlease Group
98.0,46400,Стажер,97779, специалист по анализу данных,AES
106.0,48800,контракт,123227,дизайнер взаимодействия,LKQ
115.0,49600,временный,104205,специалист по клинической медсестре,Bajaj Auto
102.0,47200,контракт,110052,юрист по опеке над детьми,Salesforce
102.0,47200,контракт,16918,юридический секретарь,Siemens India
110.0,52000,Стажер,124651,Бренд-менеджер по продукции,NextEra Energy
102.0,48000,стажер,108319,аналитик по контролю качества,Computacenter
113.0,52000,Полная занятость,31928, Специалист по анализу данных,ВК
102.0,47200,контракт,132326,Sales Account Executive,Hershey
110.0,52000,временная,55283,инженер по системам электропитания,TAG Immobilien AG
110.0,50400,Полная занятость,128578,Специалист по сетевой безопасности,Блок
98.0,44800,Полная занятость,78913, Менеджер по работе с клиентами,Linde plc
101.0,47200,неполный рабочий день,48567,дизайнер коммерческого интерьера,Nucor
95.0,44800,временная,130176,консультант по работе с зависимыми людьми,Gree Electric Appliances
100.0,47200,стажер,33129,архитектор облачных вычислений,DCP Midstream
105.0,48000, Полная занятость,21839,бизнес-аналитик данных,Balfour Beatty
97.0,44800,контракт,131126,координатор цепочки поставок,Ameriprise Financial
101.0,47200,неполный рабочий день,76529,разработчик мобильных приложений,Банковская группа
104.0,48000,контракт,49446,директор по уходу за больными,MetLife
118.0,52000,полный рабочий день,56862,ветеринар мелких животных,American Tower
108.0,49600,контракт,33592,инженер-химик,Expedia Group
105.0,49600,временная,90814,аналитик по исследованию рынка,Archer Daniels Midland
99.0,45600,контракт,34509,менеджер по инфраструктуре,Steel Dynamics
98.0,44800,Полная занятость,29841,QA Tester,Nestle India
93.0,44000,Стажер,72707,Аналитик по логистике,Playtech
103.0,48800,стажер,59984,менеджер ИТ-проектов,Uber Technologies
108.0,51200,временная,57908,менеджер по контролю качества,Графическая упаковка
111.0,52000,Неполный рабочий день,14167,Менеджер по работе с клиентами,Jubilant Foodworks
107.0,50400,Временная,122077, Веб-разработчик, AGCO
103.0,48800,временная,72890,разработчик баз данных,Diageo
107.0,50400,Неполный рабочий день,51195,Юридический секретарь,Continental Resources
94.0,44000,неполный рабочий день,118838,специалист по продажам медицинских услуг,Eversource Energy
102.0,44800,полный рабочий день,118067,офисный координатор,Аэрофлот
95.0,44000,контракт,35498,дизайнер взаимодействия,Avantor
96.0,45600,стажер,76972,дизайнер взаимодействия,Здоровье
97.0,44800,контракт,37063,представитель по внутренним продажам,BHEL
107.0,47200,полный рабочий день,37773,испытатель автоматики,Marathon Oil
113.0,48800,временный,40994,Дизайнер пользовательского интерфейса,Geely Automobile Holdings
108.0,49600, Полная занятость,77933,менеджер по работе с клиентами,Williams
103.0,48800,временная,84357,архитектор проектов,AES
112.0,45600, частичная занятость,86636,менеджер по обеспечению качества обслуживания,Sun Pharmaceutical Industries
101.0,47200,неполный рабочий день,130927,тестировщик производительности,Burberry Group
